"set","nr","ntree","oob"
"",0,0,0
"df4_d",1,100,0.0440677966101695
"df4_d",2,100,0.0508474576271186
"df4_d",3,100,0.0677966101694915
"df4_d",4,100,0.0372881355932203
"df4_d",5,100,0.0508474576271186
"df4_d",6,100,0.0610169491525424
"df4_d",7,100,0.0779661016949153
"df4_d",8,100,0.0305084745762712
"df4_d",9,100,0.0745762711864407
"df4_d",10,100,0.0474576271186441
"df4_d",1,200,0.0542372881355932
"df4_d",2,200,0.0305084745762712
"df4_d",3,200,0.0406779661016949
"df4_d",4,200,0.0576271186440678
"df4_d",5,200,0.0440677966101695
"df4_d",6,200,0.0474576271186441
"df4_d",7,200,0.0305084745762712
"df4_d",8,200,0.0440677966101695
"df4_d",9,200,0.0338983050847458
"df4_d",10,200,0.0406779661016949
"df4_d",1,300,0.023728813559322
"df4_d",2,300,0.0372881355932203
"df4_d",3,300,0.0169491525423729
"df4_d",4,300,0.0271186440677966
"df4_d",5,300,0.0338983050847458
"df4_d",6,300,0.0338983050847458
"df4_d",7,300,0.0338983050847458
"df4_d",8,300,0.0406779661016949
"df4_d",9,300,0.023728813559322
"df4_d",10,300,0.0271186440677966
"df4_d",1,400,0.0338983050847458
"df4_d",2,400,0.0440677966101695
"df4_d",3,400,0.0271186440677966
"df4_d",4,400,0.023728813559322
"df4_d",5,400,0.0305084745762712
"df4_d",6,400,0.0372881355932203
"df4_d",7,400,0.0372881355932203
"df4_d",8,400,0.0338983050847458
"df4_d",9,400,0.0338983050847458
"df4_d",10,400,0.0372881355932203
"df4_d",1,500,0.0338983050847458
"df4_d",2,500,0.0271186440677966
"df4_d",3,500,0.0338983050847458
"df4_d",4,500,0.0338983050847458
"df4_d",5,500,0.0372881355932203
"df4_d",6,500,0.0271186440677966
"df4_d",7,500,0.0406779661016949
"df4_d",8,500,0.023728813559322
"df4_d",9,500,0.0372881355932203
"df4_d",10,500,0.0372881355932203
"df4_d",1,600,0.0271186440677966
"df4_d",2,600,0.0305084745762712
"df4_d",3,600,0.0305084745762712
"df4_d",4,600,0.0305084745762712
"df4_d",5,600,0.0406779661016949
"df4_d",6,600,0.0338983050847458
"df4_d",7,600,0.0338983050847458
"df4_d",8,600,0.0440677966101695
"df4_d",9,600,0.0338983050847458
"df4_d",10,600,0.0338983050847458
"df4_d",1,700,0.0372881355932203
"df4_d",2,700,0.0305084745762712
"df4_d",3,700,0.0203389830508475
"df4_d",4,700,0.0372881355932203
"df4_d",5,700,0.0372881355932203
"df4_d",6,700,0.0338983050847458
"df4_d",7,700,0.023728813559322
"df4_d",8,700,0.0338983050847458
"df4_d",9,700,0.0271186440677966
"df4_d",10,700,0.0203389830508475
"df4_d",1,800,0.0169491525423729
"df4_d",2,800,0.0338983050847458
"df4_d",3,800,0.0305084745762712
"df4_d",4,800,0.0338983050847458
"df4_d",5,800,0.0338983050847458
"df4_d",6,800,0.0305084745762712
"df4_d",7,800,0.0271186440677966
"df4_d",8,800,0.0305084745762712
"df4_d",9,800,0.0338983050847458
"df4_d",10,800,0.0305084745762712
"df4_d",1,900,0.0406779661016949
"df4_d",2,900,0.0338983050847458
"df4_d",3,900,0.0305084745762712
"df4_d",4,900,0.0338983050847458
"df4_d",5,900,0.0271186440677966
"df4_d",6,900,0.0305084745762712
"df4_d",7,900,0.023728813559322
"df4_d",8,900,0.0169491525423729
"df4_d",9,900,0.0338983050847458
"df4_d",10,900,0.0338983050847458
"df4_d",1,1000,0.0372881355932203
"df4_d",2,1000,0.0271186440677966
"df4_d",3,1000,0.023728813559322
"df4_d",4,1000,0.023728813559322
"df4_d",5,1000,0.0305084745762712
"df4_d",6,1000,0.0338983050847458
"df4_d",7,1000,0.023728813559322
"df4_d",8,1000,0.0271186440677966
"df4_d",9,1000,0.0372881355932203
"df4_d",10,1000,0.0305084745762712
